window_size,overlap,num_samples,num_volunteers,svm_f1,rf_f1,dt_f1
170,30,15843,27,0.46237202077831885,0.4552859841056022,0.38892963721407486
170,60,7930,27,0.45749648323142134,0.4529016827793305,0.4017393301466437
150,30,15854,27,0.4526663598651103,0.4538975284477393,0.3842972866218662
150,60,7937,27,0.44899280970454436,0.4548368579987776,0.3622291114336314
170,100,4766,27,0.4451917380607966,0.45378786950030564,0.37895605927841364
120,30,15881,27,0.4417633912885857,0.4436467889341787,0.3700660497328886
150,100,4767,27,0.43549233486418343,0.4507555965058243,0.36818035227204127
120,60,7944,27,0.4331050237351368,0.44014565669779276,0.39349835748288015
120,100,4774,27,0.417075018520023,0.44546662669861753,0.39266555205984927
