window_size,overlap,overlap_percent,num_samples,svm_f1,dt_f1,rf_f1
170,5,2,94960,0.48112067475428655,0.37940998245124435,0.46384367965438034
170,5,2,94960,0.48112067475428655,0.3864744300336097,0.46384367965438034
170,10,5,47491,0.4835494658152305,0.3781594671274379,0.4722086985391767
170,10,5,47491,0.4835494658152305,0.37604398813902923,0.4722086985391767
170,15,8,31666,0.48605031855741937,0.383869605425449,0.4652570361914178
170,15,8,31666,0.48605031855741937,0.3806596764315315,0.4652570361914178
170,20,11,23757,0.48832638729308114,0.39547234399129155,0.472217865514712
170,20,11,23757,0.48832638729308114,0.3957391973591462,0.472217865514712
170,30,17,15843,0.4854033945337237,0.38967056663857413,0.4703531894155847
170,30,17,15843,0.4854033945337237,0.38926307702944285,0.4703531894155847
