"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.753050120E-1,-6.532405853E0,6.786045074E0,5.051248550E0,1.068821060E1
1.776684490E-1,-6.503692150E0,6.845865726E0,4.996213913E0,1.068297911E1
1.800319390E-1,-6.458228111E0,6.867401123E0,4.902893543E0,1.062583049E1
1.823953760E-1,-6.384050846E0,6.853044033E0,4.804787636E0,1.052645724E1
1.847588140E-1,-6.295516491E0,6.850651264E0,4.689932346E0,1.041923299E1
1.871223030E-1,-6.218945980E0,6.812366009E0,4.587040901E0,1.030167773E1
1.894857410E-1,-6.151947021E0,6.783652306E0,4.517649174E0,1.021144186E1
1.918492300E-1,-6.082555294E0,6.759724140E0,4.431507587E0,1.011580985E1
1.942126680E-1,-6.032305717E0,6.759724140E0,4.378865242E0,1.006265589E1
1.965761050E-1,-6.005984783E0,6.769295216E0,4.366901398E0,1.004813608E1
1.989395430E-1,-5.965306759E0,6.764509678E0,4.352544308E0,1.001439553E1
2.013030320E-1,-5.953342915E0,6.752545357E0,4.369294167E0,1.000649250E1
2.036664700E-1,-6.005984783E0,6.740581512E0,4.517649174E0,1.009536757E1
2.060299070E-1,-6.084948063E0,6.759724140E0,4.733003139E0,1.025289140E1
2.083933970E-1,-6.094519138E0,6.735795975E0,4.800002098E0,1.027395401E1
2.107568340E-1,-6.092126369E0,6.721438885E0,4.840680122E0,1.028221418E1
2.131202720E-1,-6.087340832E0,6.740581512E0,4.914857864E0,1.032700273E1
2.154837620E-1,-6.072983742E0,6.771687984E0,4.991427898E0,1.037551166E1
2.178471990E-1,-5.994020939E0,6.793223381E0,5.041677475E0,1.036796425E1
2.202106370E-1,-5.905486107E0,6.853044033E0,4.996213913E0,1.033446332E1
2.225741260E-1,-5.855237007E0,6.936792850E0,4.938786030E0,1.033414258E1
2.249375640E-1,-5.807380676E0,6.994220734E0,4.907679081E0,1.033102647E1
2.273010010E-1,-5.702096462E0,7.032505512E0,4.802394867E0,1.024856255E1
2.296644910E-1,-5.589633465E0,7.018148899E0,4.728217602E0,1.014171869E1
2.320279280E-1,-5.558526993E0,7.094718933E0,4.788038254E0,1.020576158E1
2.343913660E-1,-5.532206059E0,7.128218651E0,4.811966419E0,1.022603666E1
2.367548550E-1,-5.501099110E0,7.118647575E0,4.709074974E0,1.015443853E1
2.391182930E-1,-5.544169903E0,7.104290485E0,4.675575256E0,1.015232817E1
2.414817300E-1,-5.529813290E0,7.054041386E0,4.608576298E0,1.007855696E1
2.438452200E-1,-5.541777134E0,7.056434155E0,4.618147850E0,1.009117666E1
2.462086570E-1,-5.503491879E0,7.099504948E0,4.630111694E0,1.010590558E1
2.485720950E-1,-5.369493961E0,7.080362320E0,4.508078098E0,9.964224211E0
2.509355840E-1,-5.218746185E0,7.025327206E0,4.319045067E0,9.759338317E0
2.532990220E-1,-5.113461971E0,6.972685337E0,4.125226021E0,9.580361364E0
2.556624590E-1,-5.036891460E0,6.869793892E0,4.029513359E0,9.423445315E0
2.580259490E-1,-4.984249592E0,6.750152588E0,3.952943087E0,9.275400962E0
2.603893870E-1,-4.936393261E0,6.597012043E0,3.785445452E0,9.067422103E0
2.627528240E-1,-4.981856823E0,6.568298340E0,3.675375462E0,9.026063664E0
2.651163140E-1,-4.998606682E0,6.541976929E0,3.529413462E0,8.957694473E0
2.674797510E-1,-5.070391178E0,6.518048763E0,3.428914785E0,8.941548131E0
2.698431890E-1,-5.192425251E0,6.513263226E0,3.419343472E0,9.004209438E0
2.722066780E-1,-5.316852093E0,6.541976929E0,3.467200041E0,9.115253942E0
2.745701160E-1,-5.474778175E0,6.640082836E0,3.567698479E0,9.316242192E0
2.769335530E-1,-5.572884083E0,6.687939167E0,3.562912941E0,9.406376344E0
2.792970430E-1,-5.577669621E0,6.668796539E0,3.416950703E0,9.341241769E0
2.816604800E-1,-5.580062389E0,6.731009960E0,3.280559778E0,9.338397283E0
2.840239180E-1,-5.596812248E0,6.812366009E0,3.158525944E0,9.365304273E0
2.863874070E-1,-5.599205017E0,6.886543751E0,3.022135019E0,9.375973642E0
2.887508450E-1,-5.606383324E0,6.943971157E0,2.859423161E0,9.371583122E0
2.911142820E-1,-5.594419479E0,6.960721016E0,2.727817774E0,9.337566930E0
2.934777720E-1,-5.541777134E0,6.982256413E0,2.579462767E0,9.279915225E0
2.958412090E-1,-5.493920803E0,7.056434155E0,2.476571321E0,9.279538473E0
2.982046470E-1,-5.462814331E0,7.116254330E0,2.419143677E0,9.291699103E0
3.005681370E-1,-5.436492920E0,7.173682213E0,2.344966173E0,9.301399793E0
3.029315740E-1,-5.412564754E0,7.166503906E0,2.368894339E0,9.287965108E0
3.052950120E-1,-5.424529076E0,7.200003147E0,2.411965132E0,9.331834590E0
3.076585010E-1,-5.436492920E0,7.219145775E0,2.447857618E0,9.362880321E0
3.100219390E-1,-5.458028316E0,7.214360237E0,2.512463808E0,9.388798705E0
3.123853760E-1,-5.441278458E0,7.207181931E0,2.617748022E0,9.402318190E0
3.147488660E-1,-5.438885689E0,7.185646534E0,2.749353170E0,9.421992173E0
3.171123030E-1,-5.410171986E0,7.130611420E0,2.909672260E0,9.411789033E0
3.194757410E-1,-5.343173027E0,7.085147858E0,3.084348440E0,9.394787037E0
3.218392300E-1,-5.218746185E0,7.025327206E0,3.254238844E0,9.337055454E0
3.242026680E-1,-5.123033047E0,6.996613503E0,3.424129248E0,9.323235984E0
3.265661050E-1,-5.008177757E0,6.929614544E0,3.605983734E0,9.279252172E0
3.289295950E-1,-4.890929699E0,6.896114826E0,3.768695593E0,9.256384796E0
3.312930320E-1,-4.785645485E0,6.903293133E0,3.952943087E0,9.283513227E0
3.336564700E-1,-4.694717884E0,6.963113785E0,4.089334011E0,9.340662838E0
3.360199590E-1,-4.634897232E0,7.008577347E0,4.223331928E0,9.404199134E0
3.383833970E-1,-4.589433670E0,7.106683254E0,4.290330887E0,9.485504067E0
3.407468870E-1,-4.563112736E0,7.211967468E0,4.366901398E0,9.586673063E0
3.431103240E-1,-4.534399033E0,7.319644451E0,4.429114819E0,9.682717984E0
3.454737620E-1,-4.496113777E0,7.436892986E0,4.453042984E0,9.764835288E0
3.478371990E-1,-4.472185612E0,7.491927624E0,4.539184570E0,9.835325121E0
3.502006890E-1,-4.532006264E0,7.520641804E0,4.661218643E0,9.941131382E0
3.525641260E-1,-4.658825874E0,7.544569969E0,4.778466702E0,1.007268279E1
3.549275640E-1,-4.797609329E0,7.546962738E0,4.905286312E0,1.019978116E1
3.572910530E-1,-4.907679081E0,7.551748276E0,5.005784988E0,1.030398463E1
3.596544910E-1,-5.008177757E0,7.556533813E0,5.053641319E0,1.037893724E1
3.620179280E-1,-5.089533806E0,7.551748276E0,5.091926575E0,1.043359826E1
3.643814180E-1,-5.108676434E0,7.556533813E0,5.067998409E0,1.043476814E1
3.667448550E-1,-5.101497650E0,7.575676441E0,4.993820667E0,1.040934180E1
3.691082930E-1,-5.079962254E0,7.575676441E0,4.926821709E0,1.036679614E1
3.714717820E-1,-5.067998409E0,7.570890903E0,4.845465660E0,1.031898902E1
3.738352200E-1,-5.056034088E0,7.542177200E0,4.780859470E0,1.026179979E1
3.761986570E-1,-5.056034088E0,7.508677483E0,4.742574692E0,1.021938026E1
3.785621470E-1,-5.044070244E0,7.432106972E0,4.723432064E0,1.014838259E1
3.809255840E-1,-4.996213913E0,7.372286797E0,4.634897232E0,1.003967322E1
3.832890220E-1,-4.967499733E0,7.322037220E0,4.577469826E0,9.962003446E0
3.856525120E-1,-4.972285271E0,7.267002583E0,4.548755646E0,9.910808508E0
3.880159490E-1,-4.984249592E0,7.171289444E0,4.553541660E0,9.849105438E0
3.903793870E-1,-5.036891460E0,7.101897717E0,4.563112736E0,9.830016511E0
3.927428760E-1,-5.132604599E0,7.006184578E0,4.610969067E0,9.833172837E0
3.951063140E-1,-5.264209747E0,6.912864685E0,4.682754040E0,9.870551546E0
3.974697510E-1,-5.453242779E0,6.824330330E0,4.733003139E0,9.935323848E0
3.998332410E-1,-5.649454117E0,6.742974281E0,4.835894585E0,1.003842171E1
4.021966780E-1,-5.802595139E0,6.714260101E0,4.922036171E0,1.014779972E1
4.045601160E-1,-5.891129494E0,6.728617191E0,4.955535889E0,1.022433528E1
4.069236050E-1,-5.871986866E0,6.740581512E0,5.027320385E0,1.025619906E1
4.092870430E-1,-5.831308842E0,6.711867332E0,5.206781864E0,1.030358691E1
4.116504800E-1,-5.769095421E0,6.654439926E0,5.328815937E0,1.029370254E1
4.140139700E-1,-5.709274769E0,6.575476646E0,5.359922886E0,1.022553103E1
4.163774070E-1,-5.726024628E0,6.518048763E0,5.398207664E0,1.021826618E1
4.187408450E-1,-5.783452511E0,6.537191391E0,5.429314613E0,1.027913670E1
4.211043340E-1,-5.876772404E0,6.608976364E0,5.462814331E0,1.039506435E1
4.234677720E-1,-6.005984783E0,6.678368092E0,5.534598827E0,1.055008236E1
4.258312620E-1,-6.211767673E0,6.826723099E0,5.749952793E0,1.087438104E1
4.281946990E-1,-6.352943897E0,7.042077065E0,5.958128452E0,1.120044821E1
4.305581370E-1,-6.345765591E0,7.250252724E0,5.927021503E0,1.131213903E1
4.329215740E-1,-6.226124287E0,7.336394310E0,5.716453075E0,1.119219107E1
4.352850640E-1,-6.139982700E0,7.393822193E0,5.694917679E0,1.117139569E1
4.376485010E-1,-6.051448345E0,7.379465103E0,5.702096462E0,1.111712356E1
4.400119390E-1,-5.903093338E0,7.228717327E0,5.417350292E0,1.079113290E1
4.423754280E-1,-5.759523869E0,7.128218651E0,5.472385406E0,1.067382866E1
4.447388660E-1,-5.582455158E0,6.987041950E0,5.221138954E0,1.035581251E1
4.471023030E-1,-5.407779217E0,6.817151546E0,4.855037212E0,9.964387467E0
4.494657930E-1,-5.326423168E0,6.723831654E0,4.957928658E0,9.907661301E0
4.518292300E-1,-5.312066078E0,6.673582554E0,5.123033047E0,9.949885312E0
4.541926680E-1,-5.352744102E0,6.575476646E0,5.163711071E0,9.927369973E0
4.565561570E-1,-5.414957523E0,6.477370739E0,5.345565796E0,9.992655821E0
4.589195950E-1,-5.443671703E0,6.453442574E0,5.496313572E0,1.007422183E1
4.612830840E-1,-5.381458282E0,6.436692715E0,5.484349728E0,1.002343246E1
4.636465220E-1,-5.278566837E0,6.412764549E0,5.733202934E0,1.009239481E1
4.660099590E-1,-5.137390137E0,6.400800705E0,6.139982700E0,1.024999584E1
4.683734490E-1,-5.058426857E0,6.319444656E0,6.051448345E0,1.010658647E1
4.707368870E-1,-4.936393261E0,6.218945980E0,5.814558983E0,9.841359850E0
4.731003240E-1,-4.838287354E0,6.065805435E0,5.374279499E0,9.438532737E0
4.754637620E-1,-4.845465660E0,5.848058701E0,4.809573650E0,8.989456420E0
4.778272510E-1,-4.737788677E0,5.714060307E0,4.278367043E0,8.567470530E0
4.801906890E-1,-4.627718925E0,5.534598827E0,3.799802303E0,8.153898710E0
4.825541260E-1,-4.450650215E0,5.367101192E0,3.342773199E0,7.732282665E0
4.849176160E-1,-4.228117466E0,5.242674351E0,2.897708178E0,7.332075036E0
4.872810530E-1,-3.993621111E0,5.170889854E0,2.423929453E0,6.968683194E0
4.896445430E-1,-3.737588882E0,5.127819061E0,1.950150490E0,6.638311978E0
4.920079800E-1,-3.541377544E0,5.144568920E0,1.452443361E0,6.412295689E0
4.943714180E-1,-3.335594654E0,5.106283665E0,1.004985452E0,6.181449694E0
4.967348550E-1,-3.170490026E0,5.108676434E0,5.312066078E-1,6.035955796E0
4.990983450E-1,-3.069991350E0,5.130211830E0,2.871387079E-2,5.978690893E0
5.014617820E-1,-3.050848961E0,5.156532764E0,-2.273181528E-1,5.995763761E0
5.038252720E-1,-3.108276606E0,5.108676434E0,-3.684946895E-1,5.991305926E0
5.061887090E-1,-3.101098061E0,5.178068161E0,-6.963114142E-1,6.075693265E0
5.085521470E-1,-3.172882795E0,5.235496044E0,-7.824530005E-1,6.171696425E0
5.109156370E-1,-3.328416348E0,5.223531723E0,-8.494520187E-1,6.251816358E0
5.132790740E-1,-3.584448338E0,5.240281582E0,-8.159525394E-1,6.401140483E0
5.156425120E-1,-3.783052683E0,5.501099110E0,-1.057627559E0,6.759597256E0
5.180060010E-1,-4.007977962E0,5.833701611E0,-1.182054400E0,7.175877259E0
5.203694390E-1,-4.192225456E0,6.221338749E0,-1.182054400E0,7.594541639E0
5.227328760E-1,-4.338187218E0,6.604190350E0,-1.232303619E0,7.997110148E0
5.250963660E-1,-4.465006828E0,6.946363926E0,-1.325623751E0,8.363344791E0
5.274598030E-1,-4.737788677E0,7.214360237E0,-1.282552958E0,8.725742219E0
5.298232410E-1,-5.103890896E0,7.269395351E0,-1.052842021E0,8.944399777E0
5.321867300E-1,-5.570491314E0,7.264609337E0,-7.776673436E-1,9.187474560E0
5.345501680E-1,-6.020341873E0,7.185646534E0,-4.953143001E-1,9.387404787E0
5.369136050E-1,-6.441478729E0,7.188039303E0,-3.206382394E-1,9.657296005E0
5.392770950E-1,-6.814758778E0,7.171289444E0,-9.571290761E-2,9.893305335E0
5.416405320E-1,-7.133004189E0,7.257431030E0,7.417750359E-2,1.017622505E1
5.440039700E-1,-7.377072334E0,7.322037220E0,2.703889608E-1,1.039742927E1
5.463674590E-1,-7.580461979E0,7.326822758E0,4.570291340E-1,1.055246943E1
5.487308970E-1,-7.752745152E0,7.360322475E0,6.077769399E-1,1.070741786E1
5.510943340E-1,-7.939385414E0,7.348358154E0,7.992027402E-1,1.084762340E1
5.534578240E-1,-8.003992081E0,7.393822193E0,9.116654396E-1,1.093451552E1
5.558212620E-1,-8.008777618E0,7.458428383E0,1.052842021E0,1.099441445E1
5.581846990E-1,-8.042277336E0,7.546962738E0,1.215553880E0,1.109560465E1
5.605481890E-1,-8.085348129E0,7.601997375E0,1.368694544E0,1.118197403E1
5.629116260E-1,-8.090133667E0,7.724031448E0,1.497906923E0,1.128515174E1
5.652750640E-1,-8.049455643E0,7.867600918E0,1.598405480E0,1.136871938E1
5.676385530E-1,-7.989634991E0,7.984848976E0,1.708475351E0,1.142413973E1
5.700019910E-1,-7.936992645E0,8.090133667E0,1.794616938E0,1.147461393E1
5.723654280E-1,-7.915457249E0,8.106883049E0,1.811366796E0,1.147419130E1
5.747289180E-1,-7.932207108E0,8.068597794E0,1.797009826E0,1.145650140E1
5.770923550E-1,-7.927421570E0,8.006384850E0,1.734796405E0,1.139981270E1
5.794557930E-1,-7.807780266E0,7.977670670E0,1.672582984E0,1.128725812E1
5.818192820E-1,-7.716853142E0,7.872386456E0,1.718046665E0,1.115688018E1
5.841827200E-1,-7.558926582E0,7.786244869E0,1.813759565E0,1.100239538E1
5.865461570E-1,-7.420143127E0,7.580461979E0,2.069791555E0,1.080768083E1
5.889096470E-1,-7.290930748E0,7.477570534E0,2.234896421E0,1.068019168E1
5.912730840E-1,-7.209574699E0,7.408178806E0,2.356930256E0,1.060255633E1
5.936365220E-1,-7.214360237E0,7.207181931E0,2.488535643E0,1.049682212E1
5.960000120E-1,-7.192824841E0,7.226324558E0,2.435893536E0,1.048284661E1
5.983634490E-1,-7.188039303E0,7.295716286E0,2.397608280E0,1.051874092E1
6.007268870E-1,-7.252645493E0,7.278966427E0,2.349751949E0,1.054066189E1
6.030903760E-1,-7.238288403E0,7.369893551E0,2.220539331E0,1.056593322E1
6.054538140E-1,-7.176074982E0,7.353144169E0,2.065006018E0,1.047993469E1
6.078172510E-1,-6.994220734E0,7.434499741E0,1.785045743E0,1.036230179E1
6.101807410E-1,-6.881757736E0,7.377072334E0,1.569691658E0,1.020998128E1
6.125441780E-1,-6.757331371E0,7.226324558E0,1.323230863E0,9.981594752E0
6.149076160E-1,-6.798008919E0,7.001399040E0,1.098305583E0,9.820325297E0
6.172711050E-1,-6.786045074E0,6.807580471E0,8.709874153E-1,9.651537634E0
6.196345430E-1,-6.704689026E0,6.632904530E0,7.154539824E-1,9.458337689E0
6.219979800E-1,-6.503692150E0,6.707081795E0,5.838487148E-1,9.360760498E0
6.243614700E-1,-6.061019897E0,7.020541668E0,3.589234054E-1,9.281852914E0
6.267249070E-1,-5.845665932E0,7.226324558E0,1.627119333E-1,9.296131022E0
6.290883450E-1,-5.967699528E0,7.073183537E0,-1.196411345E-2,9.254377674E0
6.314518340E-1,-6.336194515E0,6.735795975E0,-1.244267747E-1,9.248447998E0
6.338152720E-1,-6.525227547E0,6.618547440E0,-2.416750938E-1,9.297428225E0
6.361787090E-1,-6.652047157E0,6.515655994E0,-3.086741269E-1,9.316586507E0
6.385421990E-1,-6.711867332E0,6.465406895E0,-3.637090325E-1,9.326464157E0
6.409056370E-1,-6.719046116E0,6.479763508E0,-3.852444589E-1,9.342447705E0
6.432690740E-1,-6.740581512E0,6.530013084E0,-3.732803464E-1,9.392329223E0
6.456325640E-1,-6.778866768E0,6.530013084E0,-3.493520916E-1,9.418925227E0
6.479960010E-1,-6.836294174E0,6.439085960E0,-2.225325108E-1,9.393948412E0
6.503594390E-1,-6.838686943E0,6.276373863E0,-2.392822644E-3,9.282268780E0
6.527229280E-1,-6.776473522E0,6.230910301E0,1.674975902E-1,9.207219560E0
6.550863660E-1,-6.769295216E0,6.041877270E0,3.637090325E-1,9.080744624E0
6.574498030E-1,-6.800402164E0,5.764309883E0,5.407779217E-1,8.931135358E0
6.598132930E-1,-6.838686943E0,5.539384365E0,6.963114142E-1,8.828208642E0
6.621767300E-1,-6.829115868E0,5.434100151E0,7.633104324E-1,8.760645570E0
6.645401680E-1,-6.766902447E0,5.271388054E0,8.709874153E-1,8.621897692E0
6.669036570E-1,-6.774080753E0,5.099104881E0,9.714859724E-1,8.534214998E0
6.692670950E-1,-6.817151546E0,4.989035130E0,1.083948612E0,8.516981351E0
6.716305320E-1,-6.821937561E0,4.948357105E0,1.215553880E0,8.514848288E0
6.739940220E-1,-6.680760860E0,5.041677475E0,1.342373490E0,8.476617487E0
6.763574590E-1,-6.415157318E0,5.158925533E0,1.454836130E0,8.359743073E0
6.787208970E-1,-6.154339790E0,5.125426292E0,1.524227977E0,8.152862311E0
6.810843870E-1,-5.917450428E0,5.154139996E0,1.521835208E0,7.993582492E0
6.834478240E-1,-5.793023586E0,5.056034088E0,1.488335729E0,7.831841815E0
6.858112620E-1,-5.704489231E0,4.948357105E0,1.524227977E0,7.703940963E0
6.881747510E-1,-5.639883041E0,4.950749874E0,1.545763373E0,7.662087799E0
6.905381890E-1,-5.654240131E0,4.850251675E0,1.555334687E0,7.610153662E0
6.929016260E-1,-5.685346603E0,4.773681164E0,1.533799291E0,7.580484029E0
6.952651160E-1,-5.740381718E0,4.716253281E0,1.495514154E0,7.578363270E0
6.976285530E-1,-5.819344521E0,4.541577339E0,1.476371527E0,7.527972387E0
6.999920430E-1,-5.891129494E0,4.436293125E0,1.442872047E0,7.514518158E0
7.023554800E-1,-6.001199245E0,4.357329845E0,1.404586911E0,7.548084536E0
7.047189180E-1,-6.034698486E0,4.134797573E0,1.339980721E0,7.437048146E0
7.070823550E-1,-6.063412666E0,3.840480328E0,1.213161111E0,7.279149826E0
7.094458450E-1,-6.104090691E0,3.570091486E0,1.012163997E0,7.143525204E0
7.118092820E-1,-6.139982700E0,3.311666489E0,7.800601721E-1,7.019616540E0
7.141727200E-1,-6.147161484E0,3.132204771E0,5.000999570E-1,6.917253863E0
7.165362090E-1,-6.075376511E0,3.024527788E0,2.751746178E-1,6.792178528E0
7.188996470E-1,-5.895915031E0,2.976671457E0,2.368894368E-1,6.608971450E0
7.212630840E-1,-5.721239090E0,2.890529871E0,3.541377485E-1,6.419747129E0
7.236265740E-1,-5.584847927E0,2.880958557E0,5.599204898E-1,6.309037924E0
7.259900120E-1,-5.434100151E0,2.809173822E0,7.489534616E-1,6.162940313E0
7.283535010E-1,-5.288137913E0,2.761317253E0,8.087740541E-1,6.020248419E0
7.307169390E-1,-5.132604599E0,2.691925526E0,8.183453679E-1,5.853185641E0
7.330803760E-1,-5.099104881E0,2.758924484E0,7.704889178E-1,5.848605652E0
7.354438660E-1,-5.180460930E0,2.892922640E0,7.585247755E-1,5.981767020E0
7.378073030E-1,-5.261816978E0,3.110669374E0,7.585247755E-1,6.159410825E0
7.401707410E-1,-5.206781864E0,3.287738323E0,7.704889178E-1,6.205920869E0
7.425342300E-1,-5.242674351E0,3.725624800E0,7.417750359E-1,6.474267889E0
7.448976680E-1,-5.233103275E0,4.048655987E0,6.388836503E-1,6.647191701E0
7.472611050E-1,-5.223531723E0,4.278367043E0,5.024927258E-1,6.770687347E0
7.496245950E-1,-5.422136307E0,4.496113777E0,3.469592929E-1,7.052303310E0
7.519880320E-1,-5.706882000E0,4.850251675E0,2.033899277E-1,7.492316793E0
7.543514700E-1,-5.764309883E0,5.233103275E0,2.560320199E-1,7.789620704E0
7.567149590E-1,-5.402993679E0,5.711667538E0,7.872386575E-1,7.901596767E0
7.590783970E-1,-4.905286312E0,6.142375946E0,1.531406522E0,8.008484376E0
7.614418340E-1,-4.335794449E0,6.343372822E0,2.160718918E0,7.981616284E0
7.638053240E-1,-3.706482172E0,6.360122681E0,2.644068956E0,7.821781846E0
7.661687620E-1,-3.136990547E0,6.142375946E0,2.916850805E0,7.488491876E0
7.685321990E-1,-2.464607239E0,5.728417397E0,3.108276606E0,6.967814447E0
7.708956890E-1,-1.849651933E0,5.326423168E0,3.280559778E0,6.523347952E0
7.732591260E-1,-1.749153376E0,5.259424210E0,3.323630571E0,6.462785833E0
7.756225640E-1,-2.067398787E0,5.450850010E0,3.266202927E0,6.682363738E0
7.779860530E-1,-2.287538528E0,5.592026711E0,2.986242771E0,6.739528258E0
7.803494910E-1,-2.483749866E0,5.752345562E0,2.600998163E0,6.784075789E0
7.827129280E-1,-2.924029350E0,6.001199245E0,2.203789711E0,7.030009183E0
7.850764180E-1,-3.553341627E0,6.369693756E0,1.768295884E0,7.505071992E0
7.874398550E-1,-4.551148891E0,6.943971157E0,1.280160069E0,8.400625064E0
7.898032930E-1,-5.489135265E0,7.434499741E0,7.872386575E-1,9.274811969E0
7.921667820E-1,-6.008377552E0,7.570890903E0,2.871387303E-1,9.669614187E0
7.945302200E-1,-6.032305717E0,7.384250641E0,-2.703889608E-1,9.538814391E0
