experiment_name,window_size,overlap,step_size,num_samples,svm_f1,rf_f1,dt_f1
No Filter,170,85,85,5604,0.4463831846885354,0.4484818345413158,0.37319661476446075
Lowpass 5Hz,170,85,85,5604,0.46223915423014794,0.46966545167970186,0.4009313734578937
