filter_name,filter_method,num_samples,num_volunteers,svm_f1,dt_f1,rf_f1
No Filter (Baseline),none,15854,27,0.4526663598651103,0.39281281987364985,0.4538975284477393
Median (k=9),median,15854,27,0.46377081682572957,0.3884850550150374,0.4576325496939683
Lowpass (5Hz),lowpass,15854,27,0.4749798896674069,0.3951895866319513,0.4574510591233591
Median(k=9) + Lowpass(5Hz),combined,15854,27,0.4677883271651924,0.40486389285675095,0.4660146392148565
