experiment_name,window_size,overlap,step_size,num_samples,svm_f1,rf_f1,dt_f1
No Filter,170,10,160,47491,0.47868454986244247,0.45529186351741024,0.3903763925307742
Lowpass 5Hz,170,10,160,47491,0.4835494658152305,0.4722086985391767,0.38487451205875467
