filter_name,filter_method,num_samples,num_volunteers,svm_f1,dt_f1,rf_f1
No Filter,none,15854,27,0.4526663598651103,0.38217577355549615,0.4538975284477393
Median (k=3),median,15854,27,0.4482601352932477,0.39775635048589103,0.4497593101315523
Median (k=5),median,15854,27,0.46335271257909577,0.37407713657791214,0.4556334091830574
Lowpass (10Hz),lowpass,15854,27,0.4472993530637287,0.3821273803353035,0.4394143997326193
Lowpass (12Hz),lowpass,15854,27,0.4462631325325355,0.40122150306609555,0.4456815314951621
Bandpass (0.5-10Hz),bandpass,15854,27,0.3557487881926821,0.31375927004070736,0.36340781969653524
Bandpass (1-8Hz),bandpass,15854,27,0.3689457684715026,0.3083513485763423,0.3653132618766441
